german,english
treffen,meet
gerne,gladly
dran,your turn
wurden,became
arbeiten,work
mom,mom
verrückt,crazy
neue,new
ging,went
hinter,behind
sorgen,care for
einzige,only
jemanden,someone
darum,therefore
tochter,daughter
braucht,needs
idee,idea
schwester,sister
drin,inside
ruhig,quiet
sah,saw
ganzen,entire
spät,late
ziemlich,quite
solltest,should
name,name
sogar,even
kurz,short
kerl,guy
frauen,women
liegt,lies
suchen,seek
finde,find
je,ever
woher,from where
lang,long
job,job
keiner,none
seinem,his
hört,hears
verstehen,understand
spielen,play
s.,s.
überhaupt,at all
teufel,devil
verstanden,understood
verloren,lost
große,big
hand,hand
grund,reason
jahr,year
kommst,come
mama,mama
ruhe,quiet
gewesen,been
tod,death
stunden,hours
hoffe,hope
denkst,think
oben,above
gestern,yesterday
versuchen,attempt
art,art
letzten,last
schatz,treasure
endlich,finally
he,hey
nimm,take
etwa,approximately
erzählt,tells
läuft,is running
schwer,difficult
anders,different
miss,miss
musste,had to
fünf,five
wasser,water
lässt,lets
erste,first
versucht,tried
gekommen,came
geschichte,story
wenig,few
holen,fetch
bedeutet,means
nett,nice
wahrheit,truth
woche,week
bringt,brings
deshalb,for this reason
welche,which
bestimmt,certainly
hoch,high
alter,age
sagst,say
schau,look
ah,uh
land,country
zimmer,room
wagen,dare
vier,four
gefallen,fallen
spaß,fun
niemals,never
schuld,fault
getötet,killed
wollten,wanted
verlassen,leave
zeigen,show
beste,best
ernst,serious
unserer,ours
denen,those
ort,location
bleibt,remains
würdest,would
manchmal,sometimes
glaubst,believe
seite,page
lasst,let
zwischen,between
eben,even
während,while
spiel,game
nehme,take
ersten,first
guter,goods
chance,chance
freundin,girlfriend
krieg,war
gefüllt,filled
kleinen,small
erzählen,tell
anderes,other
tage,days
entschuldigen,excuse
wichtig,important
gehst,go
allen,everyone
bett,bed
mrs.,mrs.
sachen,things
the,the
schlecht,bad
schule,school
entschuldigung,excuse
wort,word
john,John
hättest,would have
wären,would be
typ,type
schlafen,sleep
üh,Uh
tu,do
euer,your
captain,captain
gesicht,face
falls,if
neuen,new
bloß,just
unten,below
teil,part
beiden,both
mensch,person
kleiner,smaller
stellen,place
oft,often
sorge,worries
gedacht,thought
tust,do
trinken,drink
einige,some
dies,this
ding,thing
unseren,ours
kriegen,get
blut,blood
ehrlich,honest
eltern,parents
scheint,appears
herz,heart
jack,Jack
glücklich,happy
alte,old ones
alt,old
bleib,stay
wiedersehen,see you again
frei,free
wen,who
drauf,on it
möglich,possible
irgendwie,somehow
reicht,suffices
fest,firmly
besten,best
waffe,weapon
kaum,barely
irgendwas,something
klingt,sounds
platz,place
brauchst,need
rede,speech
papa,papa
falsch,incorrect
sondern,rather
alten,old
nummer,number
früher,earlier
jungen,boys
wohin,where
außer,except
früh,early
setzen,set
zuerst,first
wahrscheinlich,probably
dürfen,allowed
jede,every
arsch,ass
telefon,phone
tue,do
kennst,know
willkommen,welcome
plan,plan
großen,big ones
retten,save
hierher,here
wär,would
bring,bring
fehler,mistake
wollt,wanted
dollar,dollar
zehn,ten
allem,everything
pass,passport
nächste,next
stunde,hour
hände,hands
gegeben,given
menge,crowd
langsam,slow
bereits,already
wartet,waits
sechs,six
lieben,love
meines,mine
büro,office
nächsten,next
gebe,give
wochen,weeks
ruf,call
schaffen,create
leider,unfortunately
scheiß,shit
h�lle,hell
trotzdem,despite it
doktor,doctor
tja,well
new,new
voll,full
film,film
überall,everywhere
hund,dog
geworden,become
direkt,direct
wolltest,wanted
tat,did
denkt,thinks
schiff,ship
neues,new
wem,whom
k�nig,king
danach,thereafter
funktioniert,functions
hattest,had
lernen,learn
deswegen,because of this
wow,Wow
nennen,to name
hm,Hm
feuer,fire
laufen,run
alleine,alone
erinnern,remember
v�llig,completely
kleines,small
k�nnt,can
stelle,place
kumpel,buddy
verlieren,lose
probleme,problems
spricht,speaks
kaffee,coffee
luft,air
fand,found
i,i
entschuldige,sorry
ziehen,pull
verschwinden,disappear
k�nntest,you could
seht,see
aufh�ren,stop
eigenen,own
richtige,correct
unserem,ours
suche,search
zwar,that is
gro�,big
hol,get
buch,book
krank,sick
f�hle,feel
jedes,each
verstehst,understand
wert,value
arzt,physician
froh,glad
versuche,try
stra�e,street
rufen,call
heiraten,marry
super,super
sam,Sam
lebt,lives
gutes,good
lasse,let
onkel,uncle
total,total
gebracht,brought
party,party
erkl�ren,explain
spielt,plays
wahl,choice
vertrauen,trust
damals,at that time
tagen,meetings
leicht,light
nachdem,after
gegangen,gone
gef�hl,feeling
kaufen,buy
geschafft,done
typen,types
interessiert,interested
m�chten,want
halte,hold
h�lt,holds
glaub,believe
irgendwo,somewhere
st�ck,piece
genauso,just as
kennt,knows
genommen,taken
zukunft,future
weniger,fewer
cool,cool
licht,light
getroffen,met
himmel,heaven
nachricht,news
dr�ben,over there
passt,fits
sagten,said
k�mmern,take care
laut,loud
vergiss,forget
angerufen,called
sitzen,sit
da�,that�
erde,earth
gro�er,bigger
schl�ssel,key
rest,rest
passieren,happen
eher,rather
gefragt,asked
gef�ngnis,prison
opfer,victim
k�rper,body
solche,such
mist,crap
mr,mr
findet,finds
schreiben,write
b�se,evil
gesprochen,spoken
versuch,attempt
vorstellen,introduce
wovon,from what
sobald,as soon as
nochmal,again
herren,gentlemen
sex,sex
waffen,weapons
wohnung,apartment
weh,sore
hei�en,are called
krankenhaus,hospital
bringe,bring
h�re,hear
millionen,million
klasse,class
hart,hard
worden,been
sinn,sense
au�erdem,also
verletzt,injured
�ndern,Change
erfahren,experience
tragen,carry
wenigstens,at least
vorsichtig,cautious
daddy,daddy
stolz,proud
stark,strong
f�llt,falls
m�chtest,you want
leuten,people
besonders,particularly
sch�ne,beautiful
schicken,send
person,person
sch�tze,shooters
solange,as long as
l�nger,longer
gro�artig,great
lacht,laughs
anrufen,call
stand,stood
redest,talk
f�hlen,feel
erwartet,expected
boden,floor
boss,boss
stimme,agree
glaubt,believes
still,silent
sicherheit,security
setz,put
ma,ma
mund,mouth
k�mpfen,fight
wisst,know
lachen,laugh
h�rst,hear
zeug,things
lustig,funny
umbringen,kill
sollst,should
hasse,hate
schlimm,terrible
o,O
unglaublich,incredible
w�rst,sausage
laden,load
f�hren,lead
gestorben,died
schauen,look
meinung,opinion
lesen,read
m�rder,murderer
frank,frank
�hm,�hm
geschehen,happen
gesch�ft,business
idiot,idiot
verzeihung,forgiveness
fliegen,fly
zeig,show
team,team
general,general
mike,Mike
aufs,ons
york,York
vorher,previously
schluss,ending
schneller,faster
liebt,loves
verdient,earned
m�gen,like
meisten,most
denk,think
umgebracht,killed
perfekt,perfect
versprochen,promised
handy,cell phone
hinten,rear
monate,months
erinnere,remember
acht,eight
arbeitet,works
fallen,fall
rufe,shout
n�tig,necessary
a,a
mord,murder
heraus,out of here
tages,day
unm�glich,impossible
liebling,darling
charlie,charlie
tats�chlich,actually
folgen,consequences
bitten,ask
behalten,keep
n�he,close
arbeite,work
joe,joe
verdammte,damn
pl�tzlich,suddenly
lebens,life
hole,fetch
tisch,table
michael,Michael
h�rte,heard
jemals,ever
liegen,lay
verkaufen,sell
gef�hrlich,dangerous
anfangen,begin
bekommt,receives
machte,made
ha,Ha
hotel,hotel
hilft,helps
werdet,will
meister,master
kampf,battle
antwort,answer
konnten,could
geschickt,sent
jedem,everyone
obwohl,although
sieben,seven
komisch,funny
gewinnen,win
ihres,hers
bezahlt,paid
you,you
voller,fuller
unterwegs,on the way
dumm,dumb
�rger,trouble
bild,picture
george,george
neu,new
bezahlen,pay
dagegen,against it
seien,be
starb,died
tom,tom
monaten,months
leiche,corpse
niemanden,nobody
auge,eye
arschloch,asshole
verheiratet,married
peter,Peter
zieh,pull
nimmt,takes
gerettet,saved
agent,agent
traum,dream
entscheidung,decision
schlimmer,worse
regeln,regulate
fenster,window
fangen,catch
fort,continued
st�ndig,constantly
findest,find
gefahr,danger
absolut,absolutely
mary,mary
augenblick,moment
bescheid,notice
rum,rum
gedanken,thoughts
werd,will
ziel,goal
benutzt,used
bewegung,movement
jemandem,someone
w�nschte,wished
worte,words
kamen,came
welcher,which
zahlen,pay
anfang,beginning
legen,place
erinnerst,remember
anwalt,attorney
fahr,drive
sitzt,sits
hilf,help
offen,open
sch�nen,beautiful
monsieur,monsieur
m�sste,would have to
arme,poor
bier,beer
f�rs,for
partner,partner
klein,small
david,David
klappe,flap
s��,sweet
herum,around
finger,finger
ehe,before
rolle,role
lie�,let
gleiche,same
monat,month
hochzeit,wedding
max,max
f�hrt,leads
paris,Paris
wach,awake
wozu,for what reason
arm,arm
geschrieben,written
chef,boss
benutzen,use
informationen,information
erledigt,completed
hoffentlich,hopefully
m�sst,must
f�hlt,feels
tanzen,dance
ansehen,view
darfst,may
zuhause,at home
wunderbar,wonderful
h�ltst,hold
reise,trip
gewonnen,won
dame,lady
irgendwann,sometime
chffffff,chffffff
alex,alex
steckt,stuck
jedenfalls,anyway
schreit,screams
tolle,great
r�ber,over
tsch�ss,bye
nennt,calls
raum,space
hei�,hot
foto,photo
kalt,cold
paul,paul
irgendetwas,anything
weile,while
bisher,until now
minute,minute
unbedingt,absolutely
zug,train
sekunden,seconds
wof�r,for what
erz�hl,tell
nen,nen
beweise,proofs
nahm,took
aller,all
freut,happy
seele,soul
schie�en,shoot
m�de,tired
dauert,lasts
magst,like
harry,Harry
brief,letter
gelernt,learned
sucht,seeks
bekannt,known
weitere,more
unfall,accident
dahin,there
kontrolle,control
beispiel,example
lady,lady
dasselbe,same
herzen,hearts
schlagen,hit
w�tend,angry
weise,way
damen,ladies
darin,in it
gottes,God
holt,fetch
fehlt,missing
vorsicht,caution
hei�e,hot
beweisen,prove
gehabt,had
zumindest,at least
vermisst,missing
h�bsch,pretty
kriegt,gets
verbindung,connection
tief,deep
richtung,direction
lage,location
sowieso,anyway
kraft,power
normal,normal
lauf,run
ehre,honor
stell,put
geschenk,gift
bar,bear
tasche,bag
gelesen,read
gekauft,bought
wussten,knew
gestohlen,stolen
hunger,hunger
leg,leg
l�gen,lie
beziehung,relationship
ben,ben
verschwunden,disappeared
steh,stand
n�chstes,next
gearbeitet,worked
preis,price
witz,joke
meinte,said
liste,list
geist,spirit
neben,next to
gesucht,wanted
firma,company
s��e,sweet
r�cken,back
schrecklich,terrible
letzter,last
verliebt,in love
�ffnen,Open
redet,talks
boot,boat
seltsam,strange
versteckt,hidden
f�rchte,fear
verschwinde,disappear
erwischt,caught
verkauft,sold
tante,aunt
erwarten,expect
pferd,horse
wunder,wonder
sauer,sour
vermutlich,allegedly
n�her,closer
major,major
jung,young
majest�t,majesty
aussehen,look
ans,ans
de,de
and,and
links,left
gro�es,big
welches,which
besch�tzen,protect
geboren,born
erreichen,to reach
punkt,point
kindern,children
kirche,church
verraten,betrayed
selber,himself
befehl,command
colonel,colonel
f�hrt,leads
zieht,pulls
geburtstag,birthday
haut,skin
wette,bet
reich,rich
sekunde,second
fahre,drive
schw�re,swear
geredet,talked
james,james
madame,madame
eigene,own
zeiten,times
traurig,sad
anruf,call
nachrichten,news
frieden,peace
karte,map
g�te,goodness
euren,yours
diesmal,this time
schade,too bad
pers�nlich,personally
kriege,get
stirbt,dies
bleibe,stay
ver�ndert,changed
sonne,sun
lieb,dear
n�mlich,namely
letztes,last
bekam,got
ruft,calls
professor,professor
gericht,court
nase,nose
ewig,forever
singen,sing
bank,bank
besch�ftigt,busy
computer,computer
yeah,yeah
toten,kill
weihnachten,Christmas
offensichtlich,apparently
naja,Oh well
henry,henry
gef�hle,feelings
fu�,foot
show,show
�berraschung,Surprise
geheimnis,secret
fbi,fbi
kontakt,contact
gold,gold
drogen,drugs
regierung,government
wein,wine
kriegst,you get
ermordet,murdered
fotos,photos
entfernt,removed
geschlafen,slept
manche,some
erledigen,complete
ran,ran
gegen�ber,opposite
schlaf,sleep
lust,desire
wundersch�n,beautiful
witzig,funny
nick,nick
zerst�rt,destroyed
�brigens,By the way
willen,will
heim,home
richtigen,correct
deines,yours
namens,called
zeigt,shows
geliebt,loved
geh�ren,belong
brachte,brought
herrn,mr
blick,view
besuch,visit
schlechte,bad
bewegen,move
haare,hair
antworten,answer
pr�sident,president
sagtest,you said
hoffnung,hope
stecken,put
lebe,live
rechts,right
interessant,interesting
entscheiden,decide
miteinander,each other
meint,means
liebst,love
indem,by
bleibst,stay
k�mmere,take care
wohnen,reside
weder,neither
m�glichkeit,possibility
kaputt,broken
bekomme,get
flugzeug,airplane
vergangenheit,past
anderer,others
zweite,second
armee,army
jim,jim
tee,tea
entweder,either
weiss,white
don,Don
detective,detective
aufhalten,stop
stellt,provides
verspreche,promise
�berrascht,Surprised
sauber,clean
hau,hew
mark,mark
schlag,hit
sheriff,sheriff
untertitel,subtitles
setzt,sets
frag,ask
vaters,father
nerv�s,nervous
gesellschaft,company
verstecken,hide
schuldig,guilty
hals,neck
sch�tzen,protect
besuchen,visit
of,of
passen,fit
�berleben,survive
erhalten,receive
teilen,split
geb�ude,building
schicksal,fate
zeichen,sign
richter,judge
besorgt,worried
k�che,kitchen
lief,ran
vergn�gen,have fun
w�sste,knew
volk,people
lhr,yours
herausfinden,find out
k�nigin,queen
soldaten,soldiers
feiern,celebrate
situation,situation
lag,lay
gelassen,calm
allerdings,however
soweit,so far
gefahren,driven
verstand,mind
bord,board
sch�nes,beautiful
jimmy,Jimmy
billy,billy
angefangen,begun
lee,lee
f�hlst,feel
bob,bob
mussten,had to
rat,advice
worauf,what
gebeten,requested
tony,tony
kamera,camera
achtung,danger
lieutenant,lieutenant
ganzes,whole
schuhe,shoes
sarah,sarah
gl�ckwunsch,congratulations
niemandem,nobody
gibst,give
statt,instead of
�bernehmen,take over
gegend,area
wald,forest
al,al
la,la
nimmst,take
danny,Danny
erkennen,recognize
glas,glass
falsche,false
verantwortlich,responsible
jesus,Jesus
st�hnt,moans
herein,in
kleid,a dress
zerst�ren,destroy
jawohl,yes indeed
london,London
gegessen,eaten
abendessen,dinner
gesetz,law
gemeinsam,together
geholfen,helped
erster,first
wohnt,lives
schritt,step
guck,look
nahe,vicinity
aussieht,looks
beginnen,start
dachten,thought
band,band
ungef�hr,approximately
aufgabe,task
neun,nine
furchtbar,terrible
drinnen,inside
zuvor,before
charles,Charles
freue,am happy
amerika,America
�brig,left
spur,track
falschen,wrong
sergeant,sergeant
melden,report
helfe,help
werfen,throw
bill,bill
haltet,hold
erinnert,remembered
h�ngt,depends
freude,joy
ehemann,husband
erschossen,shot
verzeihen,pardon
schwein,pig
uh,uh
monster,monster
entschieden,decided
mission,mission
verdammten,damn
brauch,need
gewusst,known
vorne,in front
stopp,stop
�bel,bad
schlampe,slut
sch�ner,more beautiful
adresse,address
unsinn,nonsense
messer,knife
gesund,healthy
respekt,respect
pro,per
leisten,afford
davor,before that
richard,richard
bedeuten,mean
ball,ball
mitnehmen,take along
gespielt,played
to,to
schwierigkeiten,difficulties
h�lfte,helped
kannte,knew
stehe,stand
maria,Maria
planeten,planets
schwanger,pregnant
gruppe,group
anna,anna
verhaftet,arrested
deal,deal
seines,his
irgendwelche,any
h�nden,hands
versteht,understands
drehen,turn
eis,ice
danken,thank
erfolg,success
zufrieden,satisfied
schlie�en,close
besorgen,obtain
wochenende,weekend
wor�ber,about what
stimmen,voices
nehmt,take
martin,martin
m,m
witze,jokes
beine,legs
verbrechen,crime
bericht,report
nachts,at night
eurer,yours
prinzessin,princess
schmerz,pain
klingelt,rings
position,position
echte,real
gleichen,same
fernsehen,TV
w�nsche,wishes
schlie�lich,finally
gefangen,caught
sch�tzchen,darling
seh,see
schwierig,difficult
angebot,offer
nah,close
jane,Jane
gewartet,waited
k�mmert,cares
ring,ring
rennen,run
lied,song
eier,eggs
welchen,which ones
sorry,sorry
fantastisch,fantastic
schaut,looks
hielt,held
falle,fall
drink,drink
insel,island
dauern,last
daher,therefore
zuf�llig,randomly
dorf,village
clark,clark
bewegt,moved
mitten,middle
bullen,bulls
feind,enemy
einverstanden,agreed
neuer,newer
bauen,build
tr�gt,carries
h�ngen,hang
freunden,friends
deren,whose
halb,half
verpasst,missed
sprach,spoke
leise,quiet
armen,poor
wusstest,you knew
fanden,found
unternehmen,company
tr�ume,dreams
schl�ft,sleeps
kostet,costs
spiele,games
unseres,ours
entlang,along
johnny,Johnny
versprechen,promise
tiere,animals
freiheit,freedom
verdienen,earn
aha,Aha
unterhalten,entertain
eingeladen,invited
schaden,damage
genannt,called
beenden,finish
ray,ray
ge�ndert,changed
thomas,thomas
l�cherlich,ridiculous
geschlagen,beaten
park,park
sch�tzen,protect
m�nnern,men
t,t
beginnt,begins
ehren,honor
gr��te,biggest
energie,energy
fleisch,meat
besonderes,special
besteht,consists
reichen,are sufficient
robert,Robert
zeitung,newspaper
worum,what about
nachgedacht,thought about
betrunken,drunk
sowas,like this
patienten,patients
gespr�ch,talked
leiden,suffer
taxi,taxi
t�tet,kills
see,lake
unterschied,difference
wind,wind
singt,sings
schreien,scream
daniel,Daniel
sahen,saw
wand,wall
bus,bus
lhre,yours
angriff,attack
verhalten,behave
loch,hole
interesse,interest
treten,step
quatsch,nonsense
trifft,hits
polizist,policeman
blumen,flowers
neuigkeiten,news
bringst,bring
flasche,bottle
rief,shouted
schuss,shot
fassen,grasp
meer,sea
konntest,could
schafft,creates
maschine,machine
spreche,speak
bein,leg
eddie,Eddie
bekommst,get
verbringen,spend
b�cher,books
bl�d,stupid
fr�hst�ck,breakfast
tommy,tommy
meter,meter
bilder,pictures
aufpassen,watch out
claire,Claire
dessen,whose
mu�,must
freuen,be happy
engel,angel
offenbar,apparently
gelegenheit,opportunity
fang,catch
l�ge,lie
ohren,ears
au,ouch
angetan,impressed
beeil,hurry up
brechen,break
br�der,brothers
zeitpunkt,time
keinem,no one
ecke,corner
br�cke,bridge
druck,pressure
mitgebracht,brought along
seufzt,sighs
date,date
haufen,heap
oma,granny
auftrag,order
leer,empty
entkommen,escape
bobby,Bobby
wei�en,white
l�sung,solution
wart,wait
pause,pause
irre,crazy
gestellt,placed
keller,cellar
gebrochen,broken
weinen,cry
nutzen,to use
w�nschen,wish
fragt,asks
maul,mouth
verantwortung,responsibility
schloss,lock
hut,hat
l�cheln,smile
ryan,ryan
red,red
grad,degree
zweiten,second
hinaus,out
mitkommen,come along
vorhin,earlier
fahrt,drive
gemeint,meant
ernsthaft,seriously
gebaut,built
bombe,bomb
hasst,hates
versteh,understand
kosten,cost
zeige,show
traf,met
eigenes,own
haar,hair
fragte,asked
jason,jason
operation,operation
befehle,commands
schmerzen,pains
erkl�rt,explained
steve,Steve
dach,roof
folge,consequence
gelaufen,ran
schwarze,black
dankbar,thankful
gehirn,brain
t�te,kill
m�dels,girls
mut,courage
heilige,holy
laura,laura
tier,animal
system,system
mannes,man
wahnsinn,craziness
nee,nope
rose,rose
club,club
geschlossen,closed
hintern,butt
is,is
thema,theme
fiel,fell
gehalten,held
dorthin,there
urlaub,vacation
steig,rise
vorw�rts,forward
�berpr�fen,check
besseres,better
beweis,proof
baum,tree
gebt,give
funktionieren,function
anscheinend,apparently
lehrer,teacher
hoffen,hope
bessere,better
isst,eats
nachmittag,afternoon
nem,nem
risiko,risk
chuck,chuck
knast,prison
entschuldigt,sorry
gilt,applies
held,hero
daraus,from it
erstes,first
fr�ulein,miss
rachel,Rachel
prima,great
brauchte,needed
gewalt,force
dean,dean
liebes,Dear
schaffst,create
nachdenken,ponder
tor,goal
erfahrung,experience
pl�ne,plans
jagen,hunting
katze,cat
runde,round
deutsche,German
schwanz,tail
taten,did
lord,lord
dringend,urgent
commander,commander
gro�vater,grandfather
sommer,summer
gezeigt,shown
hinterlassen,leave behind
gewissen,conscience
getrunken,drank
wahre,true
luke,hatch
kunden,customers
kate,Kate
zeugen,witness
geplant,planned
amanda,amanda
erreicht,reached
st�ren,disturb
stein,stone
atmen,breathe
hose,pants
wei�e,white
sprichst,speak
gr��er,bigger
schickt,sends
city,City
prinz,prince
behandelt,treated
tote,dead
�berlegen,consider
karten,cards
it,it
d,d
restaurant,restaurant
welchem,which one
roger,roger
natur,nature
carter,carter
emily,Emily
mami,mommy
verschwindet,disappears
lautet,is
streit,dispute
k�ssen,kiss
sprich,say
l�ngst,for a long time
f�ngt,catches
dr�ber,over it
gingen,went
erlaubt,allowed
einzigen,single
bad,bathroom
schmeckt,tastes
kugel,bullet
normalerweise,normally
schwarzen,black
rauf,up
flug,flight
beruhigen,calm
walter,walter
halbe,half
dan,Dan
geschieht,happens
einiges,some
entdeckt,discovered
morgens,morning
schlechter,worse
vollkommen,completely
gelogen,lied
verfolgt,pursued
college,college
weiteren,further
chris,chris
louis,Louis
eh,eh
schwert,sword
hunde,dogs
steigen,climb
verdammter,damned
d�rfte,should
riecht,smells
labor,laboratory
bat,asked
tim,tim
arthur,Arthur
mindestens,at least
fisch,fish
eurem,yours
f��e,f��e
stehst,stand
erschie�en,shoot
kuchen,cake
versuchte,tried
zustand,condition
wunsch,wish
g�ste,guests
erw�hnt,mentioned
farbe,color
van,van
einigen,some
zufall,coincidence
garten,garden
junger,younger
autos,cars
abgesehen,apart
fair,fair
vertraut,trusted
koffer,suitcase
hie�,called
kurs,course
wirkt,works
idioten,idiots
netter,nicer
seitdem,since
angegriffen,attacked
geschichten,stories
wahnsinnig,insane
�hnlich,Similar
lily,lily
aufgeben,give up
england,England
entf�hrt,kidnapped
ms.,ms.
mistkerl,bastard
solchen,such
ner,ner
geschossen,shot
lager,stock
besprechen,discuss
reihe,row
polizisten,policemen
vogel,bird
legt,lays
strand,beach
amerikaner,American
schwarz,black
fern,remote
fick,fuck
scherz,joke
san,san
erz�hlte,told
wichser,wanker
jake,Jake
langweilig,boring
womit,with what
gesch�fte,shops
my,my
kapiert,got it
nachher,afterward
verlangt,demanded
schl�gt,beats
�berzeugt,convinced
irgendjemand,anyone
rot,red
soldat,soldier
vorbereitet,prepared
geschah,happened
reisen,travel
termin,appointment
gang,gear
stehlen,steal
rechte,right
rache,revenge
bemerkt,noticed
frankreich,France
st�rt,disturbs
radio,radio
beruhige,calm down
pferde,horses
vertrag,contract
arbeitest,work
dienst,service
z�hlt,counts
fragst,you ask
wesen,beings
b�rgermeister,mayor
emma,emma
fluss,flow
woran,what
geblieben,stayed
durcheinander,mixed up
me,me
ted,ted
nette,cute
test,test
mister,mister
dadurch,through this
direktor,director
wichtiger,more important
kevin,Kevin
scott,scott
karriere,career
akte,file
erinnerung,memory
gro�mutter,grandmother
erz�hle,tell
l�sen,solve
bravo,Bravo
griff,handle
verfolgen,track
zweifel,doubt
such,search
sprache,language
nerven,annoy
officer,officer
andy,andy
langer,longer
ziehe,pull
entlassen,dismissed
zweimal,twice
abholen,pick up
washington,Washington
kollegen,colleagues
doc,doc
fass,barrel
szene,scene
robin,robin
scheinen,seem
b�sen,evil
schaffe,create
pflicht,duty
wache,guard
neulich,recently
beeilen,hurry up
